THỜI KHÓA BIỂU DỰ KIẾN K70 - CẬP NHẬT NGÀY 29/08/2025,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Kỳ,Trường_Viện_Khoa,Mã_lớp,Mã_lớp_kèm,Mã_HP,Tên_HP,Tên_HP_Tiếng_Anh,Khối_lượng,Ghi_chú,Buổi_số,Thứ,Thời_gian,BĐ,KT,Kíp,Tuần,Phòng,Cần_TN,SLĐK,SL_Min,SL_Max,Trạng_thái,Loại_lớp,Đợt_mở,Mã_QL,TeachingType
20251,THKHSS,759275,759275,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M17-K70,1,5,0730-1145,2,6,Sáng,"11,12,13",TTB4,NULL,NULL,NULL,15,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,759276,759276,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M18-K70,1,5,0730-1145,2,6,Sáng,"11,12,13",TTB4,NULL,NULL,NULL,15,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,759277,759277,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M19-K70,1,6,0730-1145,2,6,Sáng,"11,12,13",TTB4,NULL,NULL,NULL,15,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,759278,759278,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M20-K70,1,6,0730-1145,2,6,Sáng,"11,12,13",TTB4,NULL,NULL,NULL,15,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,759279,759279,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M21-K70,1,2,0730-1145,2,6,Sáng,"14,15,16",TTB4,NULL,NULL,NULL,15,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,759280,759280,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M22-K70,1,2,0730-1145,2,6,Sáng,"14,15,16",TTB4,NULL,NULL,NULL,15,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,759281,759281,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M23-K70,1,3,0730-1145,2,6,Sáng,"14,15,16",TTB4,NULL,NULL,NULL,15,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,759282,759282,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M24-K70,1,3,0730-1145,2,6,Sáng,"14,15,16",TTB4,NULL,NULL,NULL,15,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,759283,759283,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M25-K70,1,4,0730-1145,2,6,Sáng,"14,15,16",TTB4,NULL,NULL,NULL,15,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,759284,759284,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M26-K70,1,4,0730-1145,2,6,Sáng,"14,15,16",TTB4,NULL,NULL,NULL,15,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,759285,759285,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M27-K70,1,5,0730-1145,2,6,Sáng,"14,15,16",TTB4,NULL,NULL,NULL,15,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,759286,759286,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M28-K70,1,5,0730-1145,2,6,Sáng,"14,15,16",TTB4,NULL,NULL,NULL,15,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,165116,165116,BF2701,Nhập môn kỹ thuật sinh học,Introduction to Biotechnology,2(1-1-1-4),"Sinh học 01,02-K70C",1,2,1410-1550,3,4,Chiều,5-20,D5-102,TN,NULL,NULL,100,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165117,165117,BF2701,Nhập môn kỹ thuật sinh học,Introduction to Biotechnology,2(1-1-1-4),"Sinh học 03,04-K70C",1,2,1410-1550,3,4,Chiều,5-20,D5-103,TN,NULL,NULL,100,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20251,THKHSS,758498,758498,BF2701,Nhập môn kỹ thuật sinh học,Introduction to Biotechnology,2(1-1-1-4),NM1_K70,1,2,0730-1145,2,6,Sáng,"2,3,4",B1-305,NULL,NULL,NULL,20,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,758498,758498,BF2701,Nhập môn kỹ thuật sinh học,Introduction to Biotechnology,2(1-1-1-4),NM1_K70,1,2,0730-1145,2,6,Sáng,"2,3,4",C10-107,NULL,NULL,NULL,20,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,758499,758499,BF2701,Nhập môn kỹ thuật sinh học,Introduction to Biotechnology,2(1-1-1-4),NM2_K70,1,3,0730-1145,2,6,Sáng,"2,3,4",B1-305,NULL,NULL,NULL,20,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,758499,758499,BF2701,Nhập môn kỹ thuật sinh học,Introduction to Biotechnology,2(1-1-1-4),NM2_K70,1,3,0730-1145,2,6,Sáng,"2,3,4",C10-107,NULL,NULL,NULL,20,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,758500,758500,BF2701,Nhập môn kỹ thuật sinh học,Introduction to Biotechnology,2(1-1-1-4),NM3_K70,1,4,0730-1145,2,6,Sáng,"2,3,4",B1-305,NULL,NULL,NULL,20,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,758500,758500,BF2701,Nhập môn kỹ thuật sinh học,Introduction to Biotechnology,2(1-1-1-4),NM3_K70,1,4,0730-1145,2,6,Sáng,"2,3,4",C10-107,NULL,NULL,NULL,20,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,758501,758501,BF2701,Nhập môn kỹ thuật sinh học,Introduction to Biotechnology,2(1-1-1-4),NM4_K70,1,5,0730-1145,2,6,Sáng,"2,3,4",B1-305,NULL,NULL,NULL,20,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,758501,758501,BF2701,Nhập môn kỹ thuật sinh học,Introduction to Biotechnology,2(1-1-1-4),NM4_K70,1,5,0730-1145,2,6,Sáng,"2,3,4",C10-107,NULL,NULL,NULL,20,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,758502,758502,BF2701,Nhập môn kỹ thuật sinh học,Introduction to Biotechnology,2(1-1-1-4),NM5_K70,1,6,0730-1145,2,6,Sáng,"2,3,4",B1-305,NULL,NULL,NULL,20,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,758502,758502,BF2701,Nhập môn kỹ thuật sinh học,Introduction to Biotechnology,2(1-1-1-4),NM5_K70,1,6,0730-1145,2,6,Sáng,"2,3,4",C10-107,NULL,NULL,NULL,20,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,758503,758503,BF2701,Nhập môn kỹ thuật sinh học,Introduction to Biotechnology,2(1-1-1-4),NM6_K70,1,2,0730-1145,2,6,Sáng,"2,3,5",B1-305,NULL,NULL,NULL,20,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,758503,758503,BF2701,Nhập môn kỹ thuật sinh học,Introduction to Biotechnology,2(1-1-1-4),NM6_K70,1,2,0730-1145,2,6,Sáng,"2,3,5",C10-108,NULL,NULL,NULL,20,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,758504,758504,BF2701,Nhập môn kỹ thuật sinh học,Introduction to Biotechnology,2(1-1-1-4),NM7_K70,1,3,0730-1145,2,6,Sáng,"2,3,5",B1-305,NULL,NULL,NULL,20,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,758504,758504,BF2701,Nhập môn kỹ thuật sinh học,Introduction to Biotechnology,2(1-1-1-4),NM7_K70,1,3,0730-1145,2,6,Sáng,"2,3,5",C10-108,NULL,NULL,NULL,20,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,758505,758505,BF2701,Nhập môn kỹ thuật sinh học,Introduction to Biotechnology,2(1-1-1-4),NM8_K70,1,4,0730-1145,2,6,Sáng,"2,3,5",B1-305,NULL,NULL,NULL,20,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,758505,758505,BF2701,Nhập môn kỹ thuật sinh học,Introduction to Biotechnology,2(1-1-1-4),NM8_K70,1,4,0730-1145,2,6,Sáng,"2,3,5",C10-108,NULL,NULL,NULL,20,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,758506,758506,BF2701,Nhập môn kỹ thuật sinh học,Introduction to Biotechnology,2(1-1-1-4),NM9_K70,1,5,0730-1145,2,6,Sáng,"2,3,5",B1-305,NULL,NULL,NULL,20,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,758506,758506,BF2701,Nhập môn kỹ thuật sinh học,Introduction to Biotechnology,2(1-1-1-4),NM9_K70,1,5,0730-1145,2,6,Sáng,"2,3,5",C10-108,NULL,NULL,NULL,20,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,758507,758507,BF2701,Nhập môn kỹ thuật sinh học,Introduction to Biotechnology,2(1-1-1-4),NM10_K70,1,6,0730-1145,2,6,Sáng,"2,3,5",B1-305,NULL,NULL,NULL,20,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,758507,758507,BF2701,Nhập môn kỹ thuật sinh học,Introduction to Biotechnology,2(1-1-1-4),NM10_K70,1,6,0730-1145,2,6,Sáng,"2,3,5",C10-108,NULL,NULL,NULL,20,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,758508,758508,BF2701,Nhập môn kỹ thuật sinh học,Introduction to Biotechnology,2(1-1-1-4),NM11_K70,1,7,0730-1145,2,6,Sáng,"2,3,4",B1-305,NULL,NULL,NULL,20,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,758508,758508,BF2701,Nhập môn kỹ thuật sinh học,Introduction to Biotechnology,2(1-1-1-4),NM11_K70,1,7,0730-1145,2,6,Sáng,"2,3,4",C10-108,NULL,NULL,NULL,20,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,758509,758509,BF2701,Nhập môn kỹ thuật sinh học,Introduction to Biotechnology,2(1-1-1-4),NM12_K70,1,7,0730-1145,2,6,Sáng,"2,3,5",B1-305,NULL,NULL,NULL,20,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,758509,758509,BF2701,Nhập môn kỹ thuật sinh học,Introduction to Biotechnology,2(1-1-1-4),NM12_K70,1,7,0730-1145,2,6,Sáng,"2,3,5",C10-108,NULL,NULL,NULL,20,Đang xếp TKB,TN,AB,CT CHUẨN,
